Compound	DTXSID	Lab.Compound.Name	Fstable.Med	Fstable.Low	Fstable.High	Fup.Med	Fup.Low	Fup.High	Fup.point	Unstable	Uncertain	CV
"1,6-Dibromododecafluorohexane"	DTXSID20335129	30503	0.312	0.232	0.477	1.78E-09	2.13E-15	0.00112	0		Y	321027.29
"1H,1H,5H-Perfluoropentyl methacrylate"	DTXSID90880131	30507	0.00623	0.00422	0.0115	0.267	0.137	0.51	0.249	Y		0.71
"Perfluoro-1,4-diiodobutane"	DTXSID30190948	30516	0.11	0.0758	0.19	0.00723	0.00368	0.0123	0.00533	Y		0.61
"1,6-Diiodoperfluorohexane"	DTXSID90190949	30501	0.577	0.433	1	0.295	0.163	0.479	0.267			0.55
"1H,1H-Perfluoroheptylamine"	DTXSID10379835	30505	0.0946	0.0584	0.212	0.129	0.0521	0.343	0.121	Y		1.15
"1H,1H-Perfluorooctylamine"	DTXSID50184723	30521	0.0977	0.0708	0.147	0.605	0.348	0.941	0.345	Y		0.50
"1H,1H-Perfluorononylamine"	DTXSID50379930	30510	0.177	0.103	0.79	0.0402	0.0102	0.112	0.0359			1.29
4-nitrotoluene	DTXSID5023792	4NT	0.779	0.705	0.83	0.0679	0.0598	0.0757	0.0612			0.12
1-Iodopentadecafluoroheptane	DTXSID5059828	513	0.202	0.147	0.374	0.907	0.542	0.997	1.75	Y		0.26
(Perfluorobutyryl)-2-thenoylmethane	DTXSID7060332	812	0.959	0.279	1	0.00944	0.00481	0.0324	0.00576			1.49
"1-Iodo-1H,1H,2H,2H-perfluorononane"	DTXSID90880156	474	0.358	0.225	1	0.108	0.036	0.223	0.112			0.88
(Perfluoro-5-methylhexyl)ethyl 2-methylprop-2-enoate	DTXSID60379901	760	0.43	0.254	1	4.30E-06	2.91E-15	0.106	0.0603		Y	12577.12
"((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane"	DTXSID70880230	3096	0.531	0.345	1	0.63	0.288	0.961	0.762			0.55
"1H,1H,7H-Perfluoroheptyl 4-methylbenzenesulfonate"	DTXSID30340244	477	1	0.902	1	0.116	0.1	0.145	0.0275			0.20
tris(Trifluoroethoxy)methane	DTXSID30395037	964	0.362	0.242	0.998	0.132	0.0496	0.217	0.0994			0.65
