"","Compound","CAS","CAS.Checksum","DTXSID","Formula","SMILES.desalt","All.Compound.Names","logHenry","logHenry.Reference","logMA","logMA.Reference","logP","logP.Reference","logPwa","logPwa.Reference","logWSol","logWSol.Reference","MP","MP.Reference","MW","MW.Reference","pKa_Accept","pKa_Accept.Reference","pKa_Donor","pKa_Donor.Reference","All.Species","Dog.Foral","Dog.Foral.Reference","DTXSID.Reference","Formula.Reference","Human.Caco2.Pab","Human.Caco2.Pab.Reference","Human.Clint","Human.Clint.pValue","Human.Clint.pValue.Reference","Human.Clint.Reference","Human.Fabs","Human.Fabs.Reference","Human.Fgut","Human.Fgut.Reference","Human.Fhep","Human.Fhep.Reference","Human.Foral","Human.Foral.Reference","Human.Funbound.plasma","Human.Funbound.plasma.Reference","Human.Rblood2plasma","Human.Rblood2plasma.Reference","Monkey.Foral","Monkey.Foral.Reference","Mouse.Foral","Mouse.Foral.Reference","Mouse.Funbound.plasma","Mouse.Funbound.plasma.Reference","Rabbit.Funbound.plasma","Rabbit.Funbound.plasma.Reference","Rat.Clint","Rat.Clint.pValue","Rat.Clint.pValue.Reference","Rat.Clint.Reference","Rat.Foral","Rat.Foral.Reference","Rat.Funbound.plasma","Rat.Funbound.plasma.Reference","Rat.Rblood2plasma","Rat.Rblood2plasma.Reference","SMILES.desalt.Reference","Chemical.Class"
"16728-99-7","Naphthalene, 1,2,3,4,4a,7-hexahydro-1,6-dimethyl-4-(1-methylethyl)-","16728-99-7",TRUE,"DTXSID10880719",NA,NA,"Naphthalene, 1,2,3,4,4a,7-hexahydro-1,6-dimethyl-4-(1-methylethyl)-|Dtxsid10880719",-1.5,"OPERA29",NA,NA,5.67,"OPERA29",NA,NA,-5.03,"OPERA29",20,"OPERA29",204.2,"OPERA29",NA,NA,NA,NA,"None",NA,NA,"OPERA29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"53631-70-2","2-amino-1-phenyl-1-propanol hydrochloride","53631-70-2",TRUE,"DTXSID6027185",NA,NA,"2-amino-1-phenyl-1-propanol hydrochloride|Dtxsid6027185",-8.91,"OPERA29",NA,NA,0.67,"OPERA29",NA,NA,-0.88,"OPERA29",101,"OPERA29",151.1,"OPERA29",NA,NA,NA,NA,"None",NA,NA,"OPERA29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"NOCAS_275710","NOCAS_275710","NOCAS_275710",FALSE,"DTXSID40275710",NA,NA,"NOCAS_275710",NA,NA,NA,NA,-0.5093,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"NOCAS_1019144","NOCAS_1019144","NOCAS_1019144",FALSE,"DTXSID701019144",NA,NA,"NOCAS_1019144",NA,NA,NA,NA,2.21,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"1513864-17-9","1513864-17-9","1513864-17-9",TRUE,"DTXSID30892612",NA,NA,"1513864-17-9",NA,NA,NA,NA,1.853,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"NOCAS_893003","NOCAS_893003","NOCAS_893003",FALSE,"DTXSID30893003",NA,NA,"NOCAS_893003",NA,NA,NA,NA,0.2403,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"NOCAS_893419","NOCAS_893419","NOCAS_893419",TRUE,"DTXSID00893419",NA,NA,"NOCAS_893419",NA,NA,NA,NA,-0.4308,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"5141-88-8","5141-88-8","5141-88-8",TRUE,"DTXSID60367287",NA,NA,"5141-88-8",NA,NA,NA,NA,-0.5442,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"NOCAS_1009906","NOCAS_1009906","NOCAS_1009906",FALSE,"DTXSID401009906",NA,NA,"NOCAS_1009906",NA,NA,NA,NA,-0.1694,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"NOCAS_1009908","NOCAS_1009908","NOCAS_1009908",FALSE,"DTXSID801009908",NA,NA,"NOCAS_1009908",NA,NA,NA,NA,1.06,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"NOCAS_894099","NOCAS_894099","NOCAS_894099",FALSE,"DTXSID70894099",NA,NA,"NOCAS_894099",NA,NA,NA,NA,0.3101,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"NOCAS_894100","NOCAS_894100","NOCAS_894100",FALSE,"DTXSID20894100",NA,NA,"NOCAS_894100",NA,NA,NA,NA,0.8418,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"NOCAS_1009916","NOCAS_1009916","NOCAS_1009916",FALSE,"DTXSID001009916",NA,NA,"NOCAS_1009916",NA,NA,NA,NA,1.801,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"NOCAS_1009917","NOCAS_1009917","NOCAS_1009917",FALSE,"DTXSID701009917",NA,NA,"NOCAS_1009917",NA,NA,NA,NA,3.701,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"NOCAS_1009918","NOCAS_1009918","NOCAS_1009918",FALSE,"DTXSID401009918",NA,NA,"NOCAS_1009918",NA,NA,NA,NA,3.439,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human",NA,NA,"Dawson 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PFAS"
"38758-02-0","Trans-cadina-1(2),4-diene","38758-02-0",TRUE,"DTXSID10880719","C15H24","CC(C)C1CCC(C)C2=CCC(C)=CC12","Trans-cadina-1(2),4-diene|38758-02-0",-2.022,"EPA-CCD-OPERA",NA,NA,5.302,"EPA-CCD-OPERA",1.602,"EPA-CCD-OPERA",-5.011,"EPA-CCD-OPERA",-11.5,"EPA-CCD-OPERA",204.4,"EPA-CCD-OPERA"," ","ChemAxon"," ","ChemAxon","None",NA,NA,"EPA-CCD-OPERA","EPA-CCD-OPERA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA-CCD-OPERA",""
"541-05-9","Hexamethylcyclotrisiloxane","541-05-9",TRUE,"DTXSID6027185","C6H18O3Si3","C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1","Hexamethylcyclotrisiloxane|541-05-9",1.031,"EPA-CCD-OPERA",NA,NA,4.911,"EPA-CCD-OPERA",-1.693,"EPA-CCD-OPERA",-3.386,"EPA-CCD-OPERA",64.4,"EPA-CCD-OPERA",222.5,"EPA-CCD-OPERA"," ","ChemAxon"," ","ChemAxon","None",NA,NA,"EPA-CCD-OPERA","EPA-CCD-OPERA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA-CCD-OPERA",""
