DTXSID	Compound	CAS	logP	MW	pKa_Accept	pKa_Donor	Human.Clint	Human.Clint.pValue	Human.Funbound.plasma	Human.Rblood2plasma	Css.HTTK.Classic	Css.HTTK.Exhale	Css.HTTK.PFAS	Css.ML	Frac.Metabolism	Frac.Glomerular	Frac.Exhalation	Css.Exhale.FoldChange	Css.PFAS.FoldChange	ML.Class	InVitroMetabolism
DTXSID00192353	8:2 fluorotelomer sulfonic acid	39108-34-4	6.183	528.2	 	-2.61	0,0,0,0.997	0.997	0.0385,0.0356,0.0418	NA	15.8	15.8	1580	10350	0	1	0	1	100	4	No
DTXSID00379268	3:3 fluorotelomer carboxylic acid	356-02-5	3.936	242.1	 	2.71	0,0,0,0.979	0.979	0.049,0.046,0.0524	NA	21.21	21.21	212.1	618.6	0	1	0	1	10	3	No
DTXSID00380798	1h,1h,11h,11h-perfluorotetraethylene glycol	330562-44-2	3.613	410.1	 	11.6,12.2	5.23,0,7.23,0.0332	NA	0.0115,0.00983,0.0139	NA	4.708	4.709	NA	NA	NA	NA	NA	1	NA	4	Yes
DTXSID0059871	Pentafluoropropionamide	354-76-7	0.8185	163	 	8.12	0,0,0,0.823	0.0875	0.754,0.514,0.973	NA	2.102	2.095	2.095	61.24	0	0.9962	0.003666	0.997	0.997	2	No
DTXSID0059879	1h,1h,5h-perfluoropentanol	355-80-6	2.191	232.1	 	12.6	3.83,0,6.07,0.0364	NA	0.791,0.482,0.989	NA	0.3043	0.3004	0.3102	34.78	0.8714	0.1347	2.348e-06	0.987	1.02	2	Yes
DTXSID00880026	Potassium perfluorooctanoate (kpfoa)	2395-00-8	0.2775	452.2	 	-4.2	0,0,0,0.951	0.951	0.0103,0.00958,0.0111	NA	53.83	53.83	5383	12080	0	1	0	1	100	4	No
DTXSID1032646	Sulfluramid	4151-50-2	6.796	527.2	 	3.64	0,0,0,0.0589	0.0589	0.0241,0.023,0.0253	NA	23.9	23.9	2390	10370	0	1	0	1	100	4	No
DTXSID1037303	Perfluoroheptanoic acid	375-85-9	2.059	364.1	 	-2.29	0,0,0,0.949	0.949	0.000441,0.000408,0.000476	NA	1506	1506	150600	14470	0	1	0	1	100	4	No
DTXSID10382147	3-(perfluoro-2-butyl)propane-1,2-diol	125070-38-4	2.398	294.1	 	14.1	4.6,0,6.57,0.258	NA	0.364,0.255,0.527	NA	3.898	3.898	NA	NA	NA	NA	NA	1	NA	4	Yes
DTXSID1062122	4:2 fluorotelomer alcohol	2043-47-2	3.268	264.1	 	 	306,0,332,0.0441	NA	0.235,0.13,0.428	NA	0.02192	0.02189	0.02204	142.3	0.9997	0.0002068	1.3e-08	0.999	1.01	3	Yes
DTXSID1067629	N-methylperfluorooctanesulfonamide	31506-32-8	5.266	513.2	 	3.47	48.7,40.3,60.3,0	0	0.0107,0.01,0.0113	NA	0.5123	0.5118	0.518	10460	1	0.0001298	0	0.999	1.01	4	Yes
DTXSID20179883	2-(perfluorohexyl)ethylphosphonic acid	252237-40-4	3.275	428.1	 	1.81,8.29	0,0,0,1	1	0.00406,0.00352,0.00471	NA	144.3	144.3	NA	NA	NA	NA	NA	1	NA	4	No
DTXSID2060965	Heptafluorobutyramide	662-50-0	2.001	213.1	 	7.65	0,0,0,0.982	NA	0.566,0.477,0.695	NA	2.63	2.532	2.532	46.84	0	0.9626	0.03726	0.963	0.963	2	Yes
DTXSID20874028	2h,2h,3h,3h-perfluorooctanoic acid	914637-49-3	3.296	342.1	 	0.72	19,14.2,21.4,0	0	0.00616,0.00587,0.00646	NA	3.651	3.652	3.768	15560	1	0.0003271	0	1	1.03	4	Yes
DTXSID3031860	Perfluorodecanoic acid	335-76-2	4.151	514.1	 	-5.2	0,0,0,1	1	0.00291,0.00282,0.00301	NA	167.7	167.7	16770	10630	0	1	0	1	100	4	No
DTXSID3031862	Perfluorohexanoic acid	307-24-4	2.85	314.1	 	-0.78	0,0,0,0.998	0.998	0.0081,0.00743,0.00881	NA	98.57	98.57	985.7	476.8	0	1	0	1	10	3	No
DTXSID3031864	Perfluorooctane sulfonic acid	1763-23-1	5.609	500.1	 	-3.32	0,0,0,0.961	0.961	0.00874,0.0075,0.0101	0.6436	58.87	58.87	5887	10930	0	1	0	1	100	4	No
DTXSID30340244	1h,1h,7h-perfluoroheptyl 4-methylbenzenesulfonate	424-16-8	6.004	486.3	 	 	0,0,10,0.873	NA	0.116,0.1,0.145	NA	3766	3721	NA	NA	NA	NA	NA	0.988	NA	NA	Yes
DTXSID3037707	Potassium nonafluoro-1-butanesulfonate	29420-49-3	0.26	338.2	 	-3.31	0,0,0,1	1	0.00543,0.00508,0.00582	NA	136.6	136.6	1366	442.8	0	1	0	1	10	3	No
DTXSID3037709	Potassium perfluorohexanesulfonate	3871-99-6	0.3976	438.2	 	-3.32	0,0,0,1	1	0.00131,0.00116,0.00146	NA	436.8	436.8	43680	12470	0	1	0	1	100	4	No
DTXSID30382063	Perfluoro-3,6-dioxaheptanoic acid	151772-58-6	1.845	296	 	-0.08	0,0,0,1	1	0.00321,0.00308,0.00334	NA	263.9	263.9	263.9	33.72	0	1	0	1	1	2	No
DTXSID3038939	Perfluorooctanesulfonamide	754-91-6	5.021	499.1	 	3.37	0,0,0,0.999	0.999	0.00451,0.0043,0.00479	10	111.8	111.8	11180	10950	0	1	0	1	100	4	No
DTXSID30396867	1h,1h,8h,8h-perfluorooctane-1,8-diol	90177-96-1	3.174	362.1	 	12.3,12.9	5.03,2.11,7.3,0.0156	NA	0.0465,0.0398,0.0564	NA	1.835	1.835	NA	NA	NA	NA	NA	1	NA	4	Yes
DTXSID3047558	"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl methacrylate"	2144-53-8	4.283	432.2	 	 	196.9	1e-04	0.102,0.0402,0.186	NA	0.09605	0.09601	0.09619	8673	1	1.167e-05	1.414e-05	1	1	4	Yes
DTXSID3059921	Perfluorotetradecanoic acid	376-06-7	5.1	714.1	 	-5.2	0,0,0,0.997	0.997	0.0269,0.0258,0.028	NA	13.37	13.37	1337	7651	0	1	0	1	100	4	No
DTXSID3059927	Hexafluoroamylene	376-90-9	0.8924	212.1	 	12.3,12.9	0,0,4.07,0.864	0.0017	0.627,0.529,0.765	NA	1.953	1.953	NA	NA	NA	NA	NA	1	NA	4	Yes
DTXSID30891564	4:2 fluorotelomer sulfonic acid	757124-72-4	3.259	328.2	 	-2.64	0,0,0,0.973	0.973	0.00657,0.00597,0.00722	NA	116.3	116.3	11630	16650	0	1	0	1	100	4	No
DTXSID40380257	3-(perfluoroisopropyl)-2-propenoic acid (isppra)	243139-64-2	2.372	240.1	 	2.73	0,0,0,0.992	0.992	0.0777,0.0703,0.0867	NA	13.44	13.44	134.4	623.7	0	1	0	1	10	3	No
